source,dataset,areaname,areatypecode,mapcode,resolutioncode,year,month,day,datetime,actualtotalloadvalue,updatetime
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 00:00:00+00:00,5043.38,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 01:00:00+00:00,4767.82,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 02:00:00+00:00,4509.63,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 03:00:00+00:00,4445.26,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 04:00:00+00:00,4516.06,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 05:00:00+00:00,4572.11,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 06:00:00+00:00,4727.80,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 07:00:00+00:00,5133.52,2018-09-04 11:31:05+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 08:00:00+00:00,5550.74,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 09:00:00+00:00,5898.84,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 10:00:00+00:00,5944.84,2018-09-04 11:31:05+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 11:00:00+00:00,5670.09,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 12:00:00+00:00,5123.34,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 13:00:00+00:00,5121.48,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 14:00:00+00:00,5172.94,2018-09-04 11:31:05+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 15:00:00+00:00,5502.28,2018-09-04 11:31:05+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 16:00:00+00:00,6104.48,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 17:00:00+00:00,6199.36,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 18:00:00+00:00,6160.17,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 19:00:00+00:00,6013.05,2018-09-04 11:31:05+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 20:00:00+00:00,5693.06,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 21:00:00+00:00,5390.62,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 22:00:00+00:00,4939.46,2018-09-04 11:16:37+00:00
entso-e,ActualTotalLoad,Greece,CTY,GR,PT60M,2018,1,1,2018-01-01 23:00:00+00:00,4513.12,2018-09-04 11:16:37+00:00
